areaFIPS,areaname,areaname2,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
12380,Austin, MN,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12420,Austin-Round Rock, TX,Parental nativity,Only immigrant parents,0.214841112,0.668386221,0,0.373861283,0.126317576,0.125661179,0.46368286
12420,Austin-Round Rock, TX,Parental nativity,One immigrant and one native-born parent,0.106591463,0.331613749,0,0.102332726,0.110045813,0.104506329,0.112409696
12420,Austin-Round Rock, TX,Parental nativity,Only native-born parents,0.67856741,0,1,0.523805976,0.763636589,0.769832492,0.423907429
12420,Austin-Round Rock, TX,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12460,Bainbridge, GA,Parental nativity,Only immigrant parents,0.054010201,0,0,0.065156795,0,0.042516269,0
12460,Bainbridge, GA,Parental nativity,One immigrant and one native-born parent,0.011821985,0,0,0.017769992,0,0.022125781,0
12460,Bainbridge, GA,Parental nativity,Only native-born parents,0.934167802,0,1,0.91707319,0.967559934,0.935357928,0
12460,Bainbridge, GA,Parental nativity,At least one immigrant parent,0,0,0,0,0.032440066,0,0
12540,Bakersfield, CA,Parental nativity,Only immigrant parents,0.251883984,0.696949363,0,0.322852522,0.145838425,0.152476847,0.368133307
12540,Bakersfield, CA,Parental nativity,One immigrant and one native-born parent,0.109525308,0.303050607,0,0.118273906,0.097693436,0.098939136,0.121905059
12540,Bakersfield, CA,Parental nativity,Only native-born parents,0.638590693,0,1,0.558873594,0.756468177,0.748584032,0.509961605
12540,Bakersfield, CA,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12580,Baltimore-Columbia-Towson, MD,Parental nativity,Only immigrant parents,0.141290113,0.68711412,0,0.198129147,0.117095754,0.120341569,0.21291782
12580,Baltimore-Columbia-Towson, MD,Parental nativity,One immigrant and one native-born parent,0.064338192,0.31288588,0,0.032243811,0.078257971,0.079053789,0.014022323
12580,Baltimore-Columbia-Towson, MD,Parental nativity,Only native-born parents,0.794371724,0,1,0.769627035,0.804646254,0.800604641,0.773059845
12580,Baltimore-Columbia-Towson, MD,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12660,Baraboo, WI,Parental nativity,Only immigrant parents,0.027531743,0,0,0,0,0.029647231,0
12660,Baraboo, WI,Parental nativity,One immigrant and one native-born parent,0.05075413,0,0,0,0.022573363,0.054550845,0
12660,Baraboo, WI,Parental nativity,Only native-born parents,0.921714127,0,1,0,0.977426648,0.915801942,0
12660,Baraboo, WI,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12700,Barnstable Town, MA,Parental nativity,Only immigrant parents,0.156145424,0,0,0,0.139541253,0.120715149,0
12700,Barnstable Town, MA,Parental nativity,One immigrant and one native-born parent,0.078472666,0,0,0,0.08425317,0.098728664,0
12700,Barnstable Town, MA,Parental nativity,Only native-born parents,0.765381932,0,1,0,0.776205599,0.780556202,0
12700,Barnstable Town, MA,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12740,Barre, VT,Parental nativity,Only immigrant parents,0.008172512,0,0,0,0.012430906,0.011281729,0
12740,Barre, VT,Parental nativity,One immigrant and one native-born parent,0.026560726,0,0,0,0.040400553,0.036665622,0
12740,Barre, VT,Parental nativity,Only native-born parents,0.965266764,0,1,0,0.947168529,0.952052653,0
12740,Barre, VT,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12780,Bartlesville, OK,Parental nativity,Only immigrant parents,0.028857142,0,0,0.027135678,0,0,0.038932949
12780,Bartlesville, OK,Parental nativity,One immigrant and one native-born parent,0.005428553,0,0,0.00954777,0,0,0.010093689
12780,Bartlesville, OK,Parental nativity,Only native-born parents,0.965714276,0,1,0.96331656,0.96839273,0.975390434,0.950973332
12780,Bartlesville, OK,Parental nativity,At least one immigrant parent,0,0,0,0,0.03160727,0.024609566,0
12820,Bastrop, LA,Parental nativity,Only immigrant parents,0,0,0,0,0,0,0
12820,Bastrop, LA,Parental nativity,One immigrant and one native-born parent,0,0,0,0,0,0,0
12820,Bastrop, LA,Parental nativity,Only native-born parents,0.964057386,0,1,0.969537318,0,0.951592863,0.97299701
12820,Bastrop, LA,Parental nativity,At least one immigrant parent,0.035942614,0,0,0.030462682,0,0.048407137,0.02700299
12900,Batesville, AR,Parental nativity,Only immigrant parents,0,0,0,0,0,0,0
12900,Batesville, AR,Parental nativity,One immigrant and one native-born parent,0,0,0,0,0,0,0
12900,Batesville, AR,Parental nativity,Only native-born parents,0.966710031,0,1,0.944153607,0,0.960142076,0
12900,Batesville, AR,Parental nativity,At least one immigrant parent,0.033289969,0,0,0.055846393,0,0.039857924,0
12940,Baton Rouge, LA,Parental nativity,Only immigrant parents,0.045016512,0,0,0.070323169,0.025026005,0.036597051,0.064985231
12940,Baton Rouge, LA,Parental nativity,One immigrant and one native-born parent,0.034604758,0,0,0.006827474,0.057333414,0.044596665,0.010906637
